Student ID,Risk Probability of Failing,Risk Probability of Passing
1031.0,0.0,1.0
1043.0,0.0,1.0
1067.0,0.0,1.0
1083.0,0.0,1.0
1209.0,1.0,0.0
1018.0,0.0,1.0
1143.0,0.0,1.0
1118.0,0.0,1.0
1165.0,1.0,0.0
1140.0,0.0,1.0
1135.0,0.0,1.0
1160.0,0.0,1.0
1005.0,0.0,1.0
1082.0,0.0,1.0
1179.0,0.0,1.0
1103.0,0.0,1.0
1213.0,1.0,0.0
1112.0,0.0,1.0
1026.0,0.0,1.0
1097.0,0.0,1.0
1181.0,0.0,1.0
1125.0,0.0,1.0
1016.0,0.0,1.0
1010.0,0.0,1.0
1041.0,0.0,1.0
1220.0,1.0,0.0
1050.0,0.0,1.0
1061.0,0.0,1.0
1180.0,0.0,1.0
1170.0,0.0,1.0
1142.0,0.0,1.0
1028.0,0.0,1.0
1044.0,0.0,1.0
1190.0,1.0,0.0
1105.0,0.0,1.0
1188.0,1.0,0.0
1025.0,0.0,1.0
1169.0,0.0,1.0
1153.0,0.0,1.0
1038.0,0.0,1.0
1151.0,0.0,1.0
1132.0,0.0,1.0
1145.0,1.0,0.0
1086.0,0.0,1.0
